CHANNEL,INPUT [mV]
1348,812.19
1349,812.791
1350,813.391
1351,813.992
1352,814.593
1353,815.194
1354,815.795
1355,816.396
1356,816.997
1357,817.598
1358,818.199
1359,818.8
1360,819.401
1361,820.002
1362,820.603
1363,821.204
1364,821.804
1365,822.405
1366,823.006
1367,823.607
1368,824.208
1369,824.809
1370,825.41
1371,826.011
1372,826.612
1373,827.213
1374,827.814
1375,828.415
1376,829.016
1377,829.617
1378,830.217
1379,830.818
1380,831.419
1381,832.02
1382,832.621
1383,833.222
1384,833.823
1385,834.424
1386,835.025
1387,835.626
1388,836.227
1389,836.828
1390,837.429
1391,838.03
1392,838.63
1393,839.231
1394,839.832
1395,840.433
1396,841.034
1397,841.635
1398,842.236
1399,842.837
1400,843.438
1401,844.039
1402,844.64
1403,845.241
1404,845.842
1405,846.443
1406,847.044
1407,847.644
1408,848.245
1409,848.846
1410,849.447
1411,850.048
1412,850.649
1413,851.249
1414,851.85
1415,852.45
1416,853.051
1417,853.652
1418,854.252
1419,854.853
1420,855.453
1421,856.054
1422,856.655
1423,857.255
1424,857.856
1425,858.456
1426,859.057
1427,859.657
1428,860.258
1429,860.859
1430,861.459
1431,862.06
1432,862.66
1433,863.261
1434,863.862
1435,864.462
1436,865.063
1437,865.663
1438,866.264
1439,866.865
1440,867.465
1441,868.066
1442,868.666
1443,869.267
1444,869.867
1445,870.468
1446,871.069
1447,871.669
1448,872.27
1449,872.87
1450,873.471
1451,874.072
1452,874.672
1453,875.273
1454,875.873
1455,876.474
1456,877.074
1457,877.675
1458,878.276
1459,878.876
1460,879.477
1461,880.077
1462,880.678
1463,881.279
1464,881.879
1465,882.48
1466,883.08
1467,883.681
1468,884.281
1469,884.882
1470,885.483
1471,886.083
1472,886.684
1473,887.284
1474,887.885
1475,888.486
1476,889.086
1477,889.687
1478,890.287
1479,890.888
1480,891.488
1481,892.089
1482,892.69
1483,893.29
1484,893.891
1485,894.491
1486,895.092
1487,895.693
1488,896.293
1489,896.894
1490,897.494
1491,898.095
1492,898.696
1493,899.296
1494,899.897
1495,900.498
1496,901.099
1497,901.701
1498,902.302
1499,902.903
1500,903.505
1501,904.106
1502,904.707
1503,905.309
1504,905.91
1505,906.511
1506,907.113
1507,907.714
1508,908.315
1509,908.917
1510,909.518
1511,910.119
1512,910.721
1513,911.322
1514,911.924
1515,912.525
1516,913.126
1517,913.728
1518,914.329
1519,914.93
1520,915.532
1521,916.133
1522,916.734
1523,917.336
1524,917.937
1525,918.538
1526,919.14
1527,919.741
1528,920.342
1529,920.944
1530,921.545
1531,922.146
1532,922.748
1533,923.349
1534,923.95
1535,924.552
1536,925.153
1537,925.755
1538,926.356
1539,926.957
1540,927.559
1541,928.16
1542,928.761
1543,929.363
1544,929.964
1545,930.565
1546,931.167
1547,931.768
1548,932.369
1549,932.971
1550,933.572
1551,934.173
1552,934.775
1553,935.376
1554,935.977
1555,936.579
1556,937.18
1557,937.781
1558,938.383
1559,938.984
1560,939.586
1561,940.187
1562,940.788
1563,941.39
1564,941.991
1565,942.592
1566,943.194
1567,943.795
1568,944.396
1569,944.998
1570,945.599
1571,946.2
1572,946.802
1573,947.403
1574,948.004
1575,948.606
1576,949.207
1577,949.808
1578,950.408
1579,951.008
1580,951.607
1581,952.206
1582,952.805
1583,953.404
1584,954.003
1585,954.603
1586,955.202
1587,955.801
1588,956.4
1589,956.999
1590,957.598
1591,958.198
1592,958.797
1593,959.396
1594,959.995
1595,960.594
1596,961.194
1597,961.793
1598,962.392
1599,962.991
1600,963.59
1601,964.189
1602,964.789
1603,965.388
1604,965.987
1605,966.586
1606,967.185
1607,967.784
1608,968.384
1609,968.983
1610,969.582
1611,970.181
1612,970.78
1613,971.38
1614,971.979
1615,972.578
1616,973.177
1617,973.776
1618,974.375
1619,974.975
1620,975.574
1621,976.173
1622,976.772
1623,977.371
1624,977.97
1625,978.57
1626,979.169
1627,979.768
1628,980.367
1629,980.966
1630,981.566
1631,982.165
1632,982.764
1633,983.363
1634,983.962
1635,984.561
1636,985.161
1637,985.76
1638,986.359
1639,986.958
1640,987.557
1641,988.156
1642,988.756
1643,989.355
1644,989.954
1645,990.553
1646,991.152
1647,991.752
1648,992.351
1649,992.95
1650,993.549
1651,994.148
1652,994.747
1653,995.347
1654,995.946
1655,996.545
1656,997.144
1657,997.743
1658,998.342
1659,998.942
1660,999.541
1661,1000.14
1662,1000.739
1663,1001.338
1664,1001.938
1665,1002.537
1666,1003.136
1667,1003.735
1668,1004.334
1669,1004.933
1670,1005.533
1671,1006.132
1672,1006.731
1673,1007.33
1674,1007.929
1675,1008.528
1676,1009.128
1677,1009.727
1678,1010.326
1679,1010.925
1680,1011.524
1681,1012.124
1682,1012.723
1683,1013.322
1684,1013.921
1685,1014.52
1686,1015.119
1687,1015.719
1688,1016.318
1689,1016.917
1690,1017.516
1691,1018.115
1692,1018.714
1693,1019.314
1694,1019.913
1695,1020.512
1696,1021.111
1697,1021.71
1698,1022.31
1699,1022.909
1700,1023.508
1701,1024.107
1702,1024.706
1703,1025.305
1704,1025.905
1705,1026.504
1706,1027.103
1707,1027.702
1708,1028.301
1709,1028.9
1710,1029.5
1711,1030.099
1712,1030.698
1713,1031.297
1714,1031.896
1715,1032.496
1716,1033.095
1717,1033.694
1718,1034.293
1719,1034.892
1720,1035.491
1721,1036.091
1722,1036.69
1723,1037.289
1724,1037.888
1725,1038.487
1726,1039.086
1727,1039.686
1728,1040.285
1729,1040.884
1730,1041.483
1731,1042.082
1732,1042.682
1733,1043.281
1734,1043.88
1735,1044.479
1736,1045.078
1737,1045.677
1738,1046.277
1739,1046.876
1740,1047.475
1741,1048.074
1742,1048.673
1743,1049.272
1744,1049.872
1745,1050.471
1746,1051.07
1747,1051.669
1748,1052.268
1749,1052.868
1750,1053.467
1751,1054.066
1752,1054.665
1753,1055.264
1754,1055.863
1755,1056.463
1756,1057.062
1757,1057.661
1758,1058.26
1759,1058.859
1760,1059.458
1761,1060.058
1762,1060.657
1763,1061.256
1764,1061.855
1765,1062.454
1766,1063.054
1767,1063.653
1768,1064.252
1769,1064.851
1770,1065.45
1771,1066.049
1772,1066.649
1773,1067.248
1774,1067.847
1775,1068.446
1776,1069.045
1777,1069.644
1778,1070.244
1779,1070.843
1780,1071.442
1781,1072.041
1782,1072.64
1783,1073.24
1784,1073.839
1785,1074.438
1786,1075.037
1787,1075.636
1788,1076.235
1789,1076.835
1790,1077.434
1791,1078.033
1792,1078.632
1793,1079.231
1794,1079.83
1795,1080.43
1796,1081.029
1797,1081.628
1798,1082.227
1799,1082.826
1800,1083.426
1801,1084.025
1802,1084.624
1803,1085.223
1804,1085.822
1805,1086.421
1806,1087.021
1807,1087.62
1808,1088.219
1809,1088.818
1810,1089.417
1811,1090.016
1812,1090.616
1813,1091.215
1814,1091.814
1815,1092.413
1816,1093.012
1817,1093.612
1818,1094.211
1819,1094.81
1820,1095.409
1821,1096.008
1822,1096.607
1823,1097.207
1824,1097.806
1825,1098.405
1826,1099.004
1827,1099.603
1828,1100.202
1829,1100.802
1830,1101.401
1831,1102.0
1832,1102.599
1833,1103.198
1834,1103.798
1835,1104.397
1836,1104.996
1837,1105.595
1838,1106.194
1839,1106.793
1840,1107.393
1841,1107.992
1842,1108.591
1843,1109.19
1844,1109.789
1845,1110.388
1846,1110.988
1847,1111.587
1848,1112.186
1849,1112.785
1850,1113.384
1851,1113.984
1852,1114.583
1853,1115.182
1854,1115.781
1855,1116.38
1856,1116.979
1857,1117.579
1858,1118.178
1859,1118.777
1860,1119.376
1861,1119.975
1862,1120.574
1863,1121.174
1864,1121.773
1865,1122.372
1866,1122.971
1867,1123.57
1868,1124.17
1869,1124.769
1870,1125.368
1871,1125.967
1872,1126.566
1873,1127.165
1874,1127.765
1875,1128.364
1876,1128.963
1877,1129.562
1878,1130.161
1879,1130.76
1880,1131.36
1881,1131.959
1882,1132.558
1883,1133.157
1884,1133.756
1885,1134.356
1886,1134.955
1887,1135.554
1888,1136.153
1889,1136.752
1890,1137.351
1891,1137.951
1892,1138.55
1893,1139.149
1894,1139.748
1895,1140.347
1896,1140.946
1897,1141.546
1898,1142.145
1899,1142.744
1900,1143.343
1901,1143.942
1902,1144.542
1903,1145.141
1904,1145.74
1905,1146.339
1906,1146.938
1907,1147.537
1908,1148.137
1909,1148.736
1910,1149.335
1911,1149.934
1912,1150.533
1913,1151.132
1914,1151.732
1915,1152.331
1916,1152.93
1917,1153.529
1918,1154.128
1919,1154.728
1920,1155.327
1921,1155.926
1922,1156.525
1923,1157.124
1924,1157.723
1925,1158.323
1926,1158.922
1927,1159.521
1928,1160.12
1929,1160.719
1930,1161.318
1931,1161.918
1932,1162.517
1933,1163.116
1934,1163.715
1935,1164.314
1936,1164.914
1937,1165.513
1938,1166.112
1939,1166.711
1940,1167.31
1941,1167.909
1942,1168.509
1943,1169.108
1944,1169.707
1945,1170.306
1946,1170.905
1947,1171.504
1948,1172.104
1949,1172.703
1950,1173.302
1951,1173.901
1952,1174.5
1953,1175.1
1954,1175.699
1955,1176.298
1956,1176.897
1957,1177.496
1958,1178.095
1959,1178.695
1960,1179.294
1961,1179.893
1962,1180.492
1963,1181.091
1964,1181.69
1965,1182.29
1966,1182.889
1967,1183.488
1968,1184.087
1969,1184.686
1970,1185.286
1971,1185.885
1972,1186.484
1973,1187.083
1974,1187.682
1975,1188.281
1976,1188.881
1977,1189.48
1978,1190.079
1979,1190.678
1980,1191.277
1981,1191.876
1982,1192.476
1983,1193.075
1984,1193.674
1985,1194.273
1986,1194.872
1987,1195.472
1988,1196.071
1989,1196.67
1990,1197.269
1991,1197.868
1992,1198.467
1993,1199.067
1994,1199.666
1995,1200.265
1996,1200.864
1997,1201.463
1998,1202.062
1999,1202.662
2000,1203.261
2001,1203.86
2002,1204.459
2003,1205.058
2004,1205.658
2005,1206.257
2006,1206.856
2007,1207.455
2008,1208.054
2009,1208.653
2010,1209.253
2011,1209.852
2012,1210.451
2013,1211.05
2014,1211.649
2015,1212.248
2016,1212.848
2017,1213.447
2018,1214.046
2019,1214.645
2020,1215.244
2021,1215.844
2022,1216.443
2023,1217.042
2024,1217.641
2025,1218.24
2026,1218.839
2027,1219.439
2028,1220.038
2029,1220.637
2030,1221.236
2031,1221.835
2032,1222.434
2033,1223.034
2034,1223.633
2035,1224.232
2036,1224.831
2037,1225.43
2038,1226.03
2039,1226.629
2040,1227.228
2041,1227.827
2042,1228.426
2043,1229.025
2044,1229.625
2045,1230.224
2046,1230.823
2047,1231.422
2048,1232.021
2049,1232.62
2050,1233.22
2051,1233.819
2052,1234.418
2053,1235.017
2054,1235.616
2055,1236.216
2056,1236.815
2057,1237.414
2058,1238.013
2059,1238.612
2060,1239.211
2061,1239.811
2062,1240.41
2063,1241.009
2064,1241.608
2065,1242.207
2066,1242.806
2067,1243.406
2068,1244.005
2069,1244.604
2070,1245.203
2071,1245.802
2072,1246.402
